source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,DISCOVERY,14:00,"[0.05,0.15)",60,73,0.34442598835471927,-6.444016689803025,8.028599536169114,"D2_14:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"[0.15,+inf)",30,161,0.4793102243512585,-2.6617048582735907,3.559910790899709,"D2_14:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,14:00,"[0.15,+inf)",60,161,-0.1484646594815073,-4.423683788730836,3.6543625378994444,"D2_14:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-0.05,0.05)",30,93,-2.525061467145945,-6.7918792324717225,1.9895182908896705,"D2_15:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-0.05,0.05)",60,93,0.19231289597830845,-6.226578148330104,5.840274534522301,"D2_15:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-0.15,-0.05]",30,83,-1.3928006869269411,-6.556022599316633,3.9721560774584987,"D2_15:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-0.15,-0.05]",60,83,0.2613768595540124,-5.8134725049618,7.760977197110852,"D2_15:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-inf,-0.15]",30,154,-1.399529794656091,-5.600961976145279,2.4887633293021576,"D2_15:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"(-inf,-0.15]",60,154,-3.2809329777101897,-9.055178703897683,2.2696382681529004,"D2_15:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"[0.05,0.15)",30,86,-3.229087361699599,-8.289200523673308,1.4956565637045542,"D2_15:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"[0.05,0.15)",60,86,-4.10361596092994,-11.089373088138387,2.9427316776313712,"D2_15:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"[0.15,+inf)",30,155,0.9668179012723305,-2.3629441264339492,4.653320352575959,"D2_15:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,15:00,"[0.15,+inf)",60,155,0.444934538037189,-4.328128077696851,5.882164978059646,"D2_15:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-0.05,0.05)",30,89,3.15455848296435,-0.8920068560081745,6.977149399024553,"D2_16:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-0.05,0.05)",60,89,4.765500804461181,-2.223147455984449,11.10631618231939,"D2_16:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-0.15,-0.05]",30,74,-3.094148930762725,-8.463872355260282,2.4106093305134575,"D2_16:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-0.15,-0.05]",60,74,-6.745395339910762,-14.328395606225206,0.5194970769977081,"D2_16:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-inf,-0.15]",30,164,-0.8697845623327041,-4.907318925217913,2.9807866000508545,"D2_16:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"(-inf,-0.15]",60,164,-0.1892882608278221,-6.693342366617214,6.143776802637644,"D2_16:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"[0.05,0.15)",30,78,-3.032128423752722,-6.887836475004562,1.1104326784977865,"D2_16:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"[0.05,0.15)",60,78,-1.3862979634009622,-8.051495761684992,5.469669498658973,"D2_16:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,16:00,"[0.15,+inf)",30,155,-0.44441474919701157,-4.108201701124511,3.445082741412158,"D2_16:00_[0.15,+inf)_30",trim1pct_dev_n_M15
